X,Y
1,4.16150819
2,5.532026714
3,5.234805996
4,9.696320774
5,10.274812
6,13.27101314
7,13.48336913
8,17.75266604
9,17.68311184
10,21.10281194
11,23.80732789
12,23.99995483
13,24.13448051
14,29.27455568
15,31.3040544
16,33.43335302
17,32.98598591
18,38.35362393
19,37.83641729
20,40.77120416
21,43.33522737
22,45.28192657
23,47.08154488
24,50.19405805
25,50.49158266
26,52.48599684
27,54.49237873
28,56.84176838
29,57.96153501
30,61.56029705
31,62.78722111
32,64.70784211
33,65.55372598
34,67.92670443
35,71.49940531
36,73.15429964
37,75.65843102
38,76.54375133
39,78.6880377
40,81.28611667
41,82.05979471
42,85.97650793
43,88.03545755
44,88.85037781
45,91.55255584
46,92.8863012
47,97.63872826
48,96.54905218
49,99.34575155
50,101.9167761
51,103.6401546
52,104.6496948
53,107.8997917
54,110.093372
55,112.0868621
56,112.9742534
57,115.9131032
58,116.2337119
59,120.3307717
60,120.5421259
61,122.8477777
62,123.0186022
63,126.5151423
64,127.8281804
65,132.9166645
66,133.5424751
67,135.0903862
68,138.1274163
69,140.6122547
70,140.8931369
71,141.787051
72,145.3038244
73,146.6999784
74,148.303927
75,150.3191365
76,155.0364863
77,154.6955301
78,156.7915483
79,160.9808337
80,160.599209
81,162.48598
82,165.6293891
83,166.8628445
84,168.8223484
85,172.4402714
86,174.2579884
87,174.0747142
88,175.4808759
89,177.3458678
90,180.0988995
91,182.9618544
92,185.2521088
93,187.7100038
94,189.6239954
95,190.3376524
96,192.6978067
97,195.1743008
98,197.3653728
99,197.5811078
100,199.0942838
101,203.2462024
102,205.6286716
103,205.6742305
104,209.0157166
105,212.0116286
106,213.6644464
107,215.4101169
108,215.9095943
109,218.1348504
110,220.7581306
111,223.7574333
112,224.1881335
113,228.0549605
114,230.5027676
115,230.9309662
116,233.9430062
117,236.4574886
118,235.7844373
119,237.6743509
120,241.3362161
121,243.46063
122,245.2654776
123,245.0333962
124,248.7673093
125,250.4391894
126,251.7292888
127,253.7919909
128,258.2670329
129,259.8689455
130,260.8280723
131,262.5702241
132,265.6510679
133,268.5911216
134,269.1347405
135,270.908651
136,272.0338375
137,274.496104
138,277.9347653
139,279.7549276
140,278.9634464
141,283.7498876
142,285.2897674
143,288.4611819
144,289.804086
145,292.0869581
146,290.3052799
147,294.897878
148,297.5359545
149,299.7196001
150,301.1841575
151,302.1980769
152,305.9589219
153,307.8330579
154,310.1186826
155,310.0155735
156,312.550026
157,316.6184973
158,315.0914317
159,318.1935766
160,321.4586724
161,322.0169526
162,326.1913926
163,326.4480649
164,329.3059692
165,330.7248051
166,332.5968922
167,336.3119379
168,337.0689341
169,339.2720601
170,340.5415355
171,344.1850945
172,344.4446291
173,347.8877593
174,349.0649902
175,351.5765752
176,354.0326628
177,354.5540322
178,357.3262717
179,359.6418319
180,361.7901281
181,364.1907559
182,364.2132953
183,368.2142787
184,368.7875479
185,371.1943254
186,374.4590231
187,376.1193507
188,375.3023243
189,376.9068346
190,381.5801259
191,383.5892447
192,385.4651818
193,387.4100042
194,389.0924773
195,391.0095501
196,392.5632849
197,394.549789
198,396.8289623
199,399.1866188
200,402.3189133
201,403.3021008
202,402.8338292
203,406.6011941
204,406.777301
205,411.5131608
206,411.7934007
207,414.342501
208,416.0111573
209,418.8112502
210,420.3699741
211,422.8320413
212,425.8779571
213,426.5635327
214,429.0772261
215,431.7661941
216,432.476937
217,433.4004962
218,436.4904691
219,439.7540852
220,439.6754176
221,444.7277627
222,443.7735217
223,446.7894631
224,448.1893908
225,450.8614755
226,453.3125458
227,453.8026552
228,456.6881183
229,459.2610904
230,460.0220495
231,462.2439423
232,465.6014309
233,466.7483998
234,468.9804746
235,470.8632021
236,471.7921351
237,473.9816955
238,475.8630515
239,479.7158585
240,480.0180141
241,481.8303348
242,484.7246078
243,486.9116515
244,490.7829389
245,490.6658789
246,491.3856775
247,494.414511
248,496.3003078
249,498.2359761
250,500.6139732
251,503.529632
252,506.3309353
253,507.44414
254,510.0888473
255,512.6494534
256,514.1415383
257,515.0064115
258,516.1770902
259,519.8767587
260,521.2607866
261,524.5369864
262,526.358607
263,526.4996489
264,529.9152874
265,529.7101588
266,533.2010238
267,534.668829
268,537.5367073
269,538.1977259
270,541.1874522
271,542.299137
272,543.8304321
273,546.8849619
274,549.1579597
275,550.1493527
276,552.9807472
277,556.5903535
278,557.7860929
279,559.6917213
280,560.6281863
281,560.1704785
282,564.7791775
283,568.6510546
284,566.3445246
285,570.4777291
286,573.9269498
287,575.1617237
288,576.4430706
289,577.9946401
290,580.9619566
291,583.657703
292,585.9852365
293,588.2296445
294,589.6782613
295,590.5437272
296,593.7922199
297,593.9529695
298,597.8309496
299,598.7805261
300,600.9860296
301,603.399243
302,606.4126721
303,605.5706703
304,608.5025488
305,609.0361353
306,611.5572863
307,615.6294614
308,614.845077
309,618.8014857
310,619.9380163
311,622.731012
312,624.651818
313,627.2354127
314,627.5419482
315,631.6986057
316,631.7106886
317,634.5127116
318,635.2762075
319,639.7832141
320,640.3997573
321,644.3015638
322,645.6831745
323,646.6721977
324,649.1094586
325,650.0212858
326,653.6109565
327,655.6679725
328,656.6497529
329,659.5689991
330,661.3975753
331,665.0329319
332,664.0890009
333,666.0036107
334,668.6812212
335,671.1481417
336,672.8145461
337,675.9345639
338,676.833374
339,680.5972819
340,681.7042991
341,682.1119246
342,686.5415249
343,686.6182233
344,689.5068808
345,691.9648102
346,692.4765336
347,695.9546538
348,695.8349486
349,699.2171386
350,700.5147062
351,702.2623755
352,703.4354387
353,706.9799977
354,709.7791175
355,711.883414
356,714.7502452
357,715.9463909
358,718.6638312
359,717.8752954
360,720.2462312
361,723.4736317
362,726.7411115
363,728.8779122
364,729.160104
365,731.7456209
366,733.5905867
367,735.1303156
368,735.6936207
369,737.4234384
370,742.8242315
371,744.1023976
372,744.4692791
373,747.5610676
374,748.5512155
375,750.2802688
376,752.7792078
377,754.5512731
378,758.0390763
379,759.0948158
380,761.7802153
381,763.0952239
382,767.1182703
383,767.3571146
384,768.4236322
385,771.4161553
386,773.0080584
387,776.3478092
388,777.6148199
389,777.6588131
390,781.3743546
391,782.6797874
392,784.9421079
393,786.5329307
394,789.9271583
395,790.0529477
396,793.6359098
397,795.9321112
398,797.391406
399,800.6154892
400,799.5635424
